YEAR,MONTH,SUPPLIER,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",106518,MADFISH WEST AUST SHZ - 750ML,WINE,0,0,2
2020,1,JIM BEAM BRANDS CO,10666,SAUZA HORNITOS REPOSATO - 375ML,LIQUOR,0.16,0,0
2020,1,JIM BEAM BRANDS CO,10667,EFFEN VODKA - BLACK CHERRY - 375ML,LIQUOR,0.08,0,0
2020,1,JIM BEAM BRANDS CO,10668,MAKERS MARK BOURBON - 375ML,LIQUOR,26.25,21,1
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",10669,TWO JAMES JOHNNY SMOKING GUN WHISKEY - 750ML,LIQUOR,0.17,0,0
2020,1,OPICI FAMILY DISTRIBUTING OF MD,10675,BRINLEY GOLD SHIPWRECK SPICED RUM - 750ML,LIQUOR,0.17,1,0
2020,1,OPICI FAMILY DISTRIBUTING OF MD,10676,BRINLEY GOLD SHIPWRECK COCONUT RUM - 750ML,LIQUOR,0.17,0,0
2020,1,OPICI FAMILY DISTRIBUTING OF MD,10678,BRINLEY GOLD SHIPWRECK COCONUT RUM CREAM- 750ML,LIQUOR,0,1,0
2020,1,MONSIEUR TOUTON SELECTION,106917,ALSACE WILLIAM CREMANT BRUT - 750ML,WINE,0,0,4
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,10693,TAYLOR LAKE COUNTRY RED - 3L,WINE,3,5,0
2020,1,LEGENDS LTD,10696,FIRESTONE VARIETY - 2/12 12.OZ CAN,BEER,2,2,13
2020,1,MICHAEL R DOWNEY SELECTIONS INC,106968,ADRIANO ADAMI PROSECCO BRUT - 750ML,WINE,0,0,2
2020,1,,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,14.69,18,0
2020,1,ATLAS BREW WORKS LLC,10711,ATLAS BREW WORKS PONZI - 4/6 12.OZ CAN,BEER,19.54,22,50.75
2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,107123,DELLA SCALA P/GRIG - 750ML,WINE,0.75,0,0
2020,1,YOUNG WON TRADING INC,107352,SHO CHIKU BAI NIGORI SAKE - 375ML,WINE,0,0,6
2020,1,THE WINE GROUP,10737,CONCANNON FOUNDERS PETITE SYRAH - 750ML,WINE,0.32,0,2
2020,1,FRONT PORCH MICRO WINERY LLC,10738,THE WINERY AT OLNEY CHARD - 750ML,WINE,0.32,0,0
2020,1,TREASURY WINE ESTATES AMERICAS COMPANY,10740,BERINGER FOUNDERS EST P/GRIG - 750ML,WINE,3.1,0,0
2020,1,TREASURY WINE ESTATES AMERICAS COMPANY,10758,CH ST JEAN CAL MER - 750ML,WINE,2.81,4,9
2020,1,TRADEWINDS SPECIALTY IMPORTS LLC,10768,ER BOQUERON - 330ML,BEER,0,0,1
2020,1,YOUNG WON TRADING INC,107816,HAKUSHIKA GOLD SAKE - 720ML,WINE,0,0,1
2020,1,CONSTELLATION BRANDS,10787,HIGH WEST YIPPEE KI-YAY RYE - 750ML,LIQUOR,3.23,0,0
2020,1,TREASURY WINE ESTATES AMERICAS COMPANY,10804,CH ST JEAN CAL CAB - 750ML,WINE,4.32,6,23
2020,1,MONSIEUR TOUTON SELECTION,108200,SUSANA BALBO CRIOS TORRONTES - 750ML,WINE,0.16,0,0
2020,1,LEGENDS LTD,10829,WOLFFERS DRY ROSE CIDER - 12.OZ 6/4NR,BEER,0,0,4
2020,1,SIERRA NEVADA BREWING CO,10836,SIERRA NEVADA KELLERWEIS - 1/6K,KEGS,0,0,1
2020,1,BARON FRANCOIS LTD,108367,DOM CAVES DE PRIEURE SANCERRE - 750ML,WINE,0.33,3,0.92
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",10844,HILLROCK MADIERA FINISHED RYE - 750ML,LIQUOR,0.17,0,0
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",10847,MARKHAM CAB - 750ML,WINE,1.16,0,1
2020,1,CONSTELLATION BRANDS,10859,TOM GORE CHARD - 750ML,WINE,0.66,0,6
2020,1,CONSTELLATION BRANDS,10860,TOM GORE CAB - 750ML,WINE,2.94,3,5
2020,1,CONSTELLATION BRANDS,10861,RAVAGE CAB - 750ML,WINE,4.44,4,6
2020,1,CONSTELLATION BRANDS,10862,SERPENTS BITE WHISKEY - 750ML,LIQUOR,2.77,0,0
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",108634,INDABA WESTERN CAPE CH/BLC - 750ML,WINE,1.82,3,4
2020,1,DUGGANS DISTILLERS PROD,10864,FORBIDDEN SECRET WH CHOCOLATE - 750ML,LIQUOR,0.17,0,0
2020,1,LEGENDS LTD,10866,GIN MARE - 750ML,LIQUOR,0.34,0,2
2020,1,LEGENDS LTD,10867,GUNPOWDER RYE - 750ML,LIQUOR,0.34,0,0
2020,1,SAZERAC CO,10869,99 SCHNAPPS - PINEAPPLE - 750ML,LIQUOR,0.64,0,0
2020,1,VINTAGE WINE ESTATES INC,108790,CARTLIDGE & BROWN CAB - 750ML,WINE,0,0,3
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,10898,PICCINI CHIANTI - 1.5L,WINE,12.98,9,13.83
2020,1,Default,109,WINE TOTE WOOD HANDLE 2 POCKET 4 BTL,STR_SUPPLIES,2.8,0,0
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,109053,GOLDWATER DOG POINT S/BLC - 750ML,WINE,0,0,1
2020,1,SAGAMORE WHISKEY LLC,10907,SAGAMORE RYE - 750ML,LIQUOR,22.16,21,5
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,10908,SLOOP BETTY VODKA - HONEY - 750ML,LIQUOR,0.68,0,0
2020,1,JIM BEAM BRANDS CO,10930,LAPHROAIG LORE SCOTCH - 750ML,LIQUOR,0.85,0,0
2020,1,LEGENDS LTD,10931,FOUNDERS ALL DAY 1/15PK 12OZ CAN,BEER,15,12,180
2020,1,LEGENDS LTD,10932,FOUNDERS ALL DAY - 4/6,BEER,0,0,45
2020,1,LEGENDS LTD,10934,FOUNDERS CENTENNIAL - 4/6,BEER,0,0,6
2020,1,LEGENDS LTD,10936,FOUNDERS DIRTY BASTARD - 4/6,BEER,0,0,13
2020,1,LEGENDS LTD,10940,FOUNDERS PORTER - 4/6,BEER,0,0,27
2020,1,LEGENDS LTD,10946,FOUNDERS NITRO RUBAEUS - 1/2K,KEGS,0,0,4
2020,1,DIONYSOS IMPORTS INC,109525,BOUDIN CHAB - 750ML,WINE,0,0,1
2020,1,LEGENDS LTD,10953,FOUNDERS ALL DAY - 1/2K,KEGS,0,0,8
2020,1,BACCHUS IMPORTERS LTD,10959,OLD LINE SINGLE MALT WHISKEY - 750ML,LIQUOR,0.17,0,0
2020,1,J LOHR WINERY,10979,J LOHR RIVERSTONE CHARD - 1.5L,WINE,11.07,11,4
2020,1,PUNTO VINO LLC,109924,HILLINGER ZWEIGELT - 750ML,WINE,0.08,0,0
2020,1,DOPS INC,10994,ABITA BIG EASY IPA - 12.OZ 4/6,BEER,0,0,3
2020,1,LEGENDS LTD,10997,FOUNDERS KENTUCKY BREAKFAST STOUT - 6/4,BEER,0.17,0,0
2020,1,Default,110,WINE BOTTLE TOTE 6 BTL HEAVY DUTY,STR_SUPPLIES,0.2,0,0
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,110000,SEAGRAM'S GIN - EXTRA DRY - 100ML,LIQUOR,0.24,1,0
2020,1,SAZERAC CO,11002,ANCIENT AGE BOURBON - 1.75L,LIQUOR,10.63,13,0
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,110132,R MONDAVI PRIVATE SEL CAB - 375ML,WINE,3.56,3,3
2020,1,LEGENDS LTD,11014,LAGUNITAS LUCKY 13 - 12.OZ 4/6 NR,BEER,0,0,30
2020,1,THE WINE GROUP,11019,CHLOE PROSECCO - 750ML,WINE,41.65,30,4
2020,1,LUXCO SPIRITED BRANDS,11029,EZRA BROOKS BOURBON - 1.75L,LIQUOR,68.3,66.67,0
2020,1,BACCHUS IMPORTERS LTD,110345,LUIGI EINAUDI DOLCE DOGLIANI - 750ML,WINE,0,0,1
2020,1,LUXCO SPIRITED BRANDS,11037,EZRA BROOKS BOURBON - 750ML,LIQUOR,4.89,3.92,1
2020,1,LEGENDS LTD,11055,AUSTIN ORIGINAL CIDER 4/6 CANS,BEER,0,0,17.96
2020,1,LEGENDS LTD,11056,AUSTIN PINEAPPLE CIDER - 12.OZ 4/6 CAN,BEER,0,0,19
2020,1,LEGENDS LTD,11057,AUSTIN TEXAS HONEY CIDER - 12.OZ 4/6 CAN,BEER,0,0,9
2020,1,LEGENDS LTD,11062,LONG TRAIL GREEN BLAZE - 12.OZ 4/6 CAN,BEER,0,0,4
2020,1,RELIABLE CHURCHILL LLLP,11070,SEMPE ARMAGNAC VSOP - 750ML,LIQUOR,0.57,1,0
2020,1,BACCHUS IMPORTERS LTD,11084,SHINSHU MARS IWAI JAPANESE WHISKY - 750ML,LIQUOR,6.43,7,3
2020,1,BACCHUS IMPORTERS LTD,11085,SHINSHU MARS IWAI TRAD JAPANESE WHISKY - 750ML,LIQUOR,2.4,3,0
2020,1,RELIABLE CHURCHILL LLLP,11086,WHISTLEPIG 15YR STRAIGHT RYE WHISKEY - 750ML,LIQUOR,2.64,2,0
2020,1,HEAVEN HILL DISTILLERIES INC,11088,EVAN WILLIAMS BLACK SOUR MASH 7YR - 750ML,LIQUOR,109.97,104,13
2020,1,DIAGEO NORTH AMERICA INC,11118,BULLEIT BOURBON - 750ML,LIQUOR,82.48,70,43
2020,1,JACKSON FAMILY ENTERPRISES INC,11142,K JACKSON GRAND RES MER - 750ML,WINE,11.06,0,0
2020,1,SAZERAC CO,11169,ANCIENT AGE BOURBON - 750ML,LIQUOR,2.56,0,0
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",111708,DR PAULY BERG NOBLE HOUSE RIES - 750ML,WINE,0.42,0,3
2020,1,ELITE WINES IMPORTS,111740,LUSTAU OE INDIA SOLERA SHERRY - 750ML,WINE,0,0,1
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,11175,PICAROON OVERPROOF WHITE RUM - 1L,LIQUOR,0.08,0,0
2020,1,Default,112,CORKSCREW,REF,16.1,25,0
2020,1,JIM BEAM BRANDS CO,11207,MAKER'S MARK 90P - 1L,LIQUOR,45.82,34,41
2020,1,CONSTELLATION BRANDS,11215,BLACK BOX SHIRAZ 6/CS - 3L,WINE,27.29,22,5
2020,1,MICHAEL R DOWNEY SELECTIONS INC,112283,DI LENARDO P/GRIG - 750ML,WINE,0,0,7
2020,1,CAMPARI AMERICA LLC,11231,WILD TURKEY 101P - 1.75L,LIQUOR,26.86,34,0
2020,1,PERNOD RICARD USA LLC,11266,MALIBU RUM - 1L,LIQUOR,24.66,33,18
2020,1,ROYAL WINE CORP,112720,RASHI LIGHT PINK CONCORD - 750ML,WINE,0,0,3
2020,1,ROYAL WINE CORP,112739,RASHI LIGHT RED CONCORD - 750ML,WINE,3.08,1,18
2020,1,CONSTELLATION BRANDS,11274,BLACKSTONE CALIF MER - 1.5L,WINE,0.17,0,0
2020,1,ROYAL WINE CORP,112771,RASHI LIGHT WHITE CONCORD - 750ML,WINE,0,0,13
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",112917,TIAMO PINOT GRIGIO - 750ML,WINE,0.56,0,16
2020,1,,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES,0.4,0,0
2020,1,RELIABLE CHURCHILL LLLP,11307,AFROHEAD BRILAND 07 AGED RUM - 750ML,LIQUOR,0.17,1,0
2020,1,OPICI FAMILY DISTRIBUTING OF MD,11310,TEMPUS FUGIT SPIRITS GRAN CLASS BITTERS - 750ML,LIQUOR,0.67,0,0
2020,1,RELIABLE CHURCHILL LLLP,11316,FEW RYE WHISKEY - 750ML,LIQUOR,1.02,0,0
2020,1,RELIABLE CHURCHILL LLLP,11317,FEW BREAKFAST GIN - 750ML,LIQUOR,1.53,1,0
2020,1,NEW PARROTT & CO,11320,WENTE CHARLES WETMORE RES CAB - 750ML,WINE,1.97,12,2
2020,1,CRAFT WINE & SPIRITS OF MARYLAND LLC,11339,JOSEPH CARTRON TRIPLE SEC - 750ML,LIQUOR,0,0,2
2020,1,OPICI FAMILY DISTRIBUTING OF MD,11341,LIQUEUR DE VIOLETTES - 750ML,LIQUOR,0.51,0,0
2020,9,LEGENDS LTD,11354,STILLWATER EXTRA DRY - 16.OZ 6/4 CAN,BEER,0,0,3
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",113441,SPY VALLEY MARLBOROUGH S/BLC - 750ML,WINE,1.69,4,16
